Rank,Ticker,Last_Price,Momentum_14d,Vol_Surge,Range_Pos_325,Radar_Score,Threshold,Distance_%,Z_Score,Prev_Close
92,ADM,77.66,9.29,0.57,0.903,4.7943,6.8108,-29.61,1.27,77.53
93,CVE,28.4,3.49,0.62,0.8821,1.9042,2.7219,-30.04,1.28,28.46
94,NUE,227.5,25.24,0.61,0.943,14.6239,21.1087,-30.72,1.07,226.7
95,TROW,105.33,7.23,0.71,0.7901,4.0716,5.9094,-31.1,1.04,103.59
96,CAT,897.45,99.05,0.66,0.9493,62.1024,93.8141,-33.8,1.09,895.69
97,LRCX,294.05,30.89,0.87,0.9837,26.57,40.2156,-33.93,1.41,286.52
98,WULF,23.39,2.89,1.06,0.9,2.7505,4.2235,-34.88,1.04,24.02
99,ROK,453.89,40.19,0.75,0.9619,28.8037,44.3177,-35.01,1.14,448.55
100,UNH,379.98,56.5,0.78,0.4173,18.4238,28.6214,-35.63,0.9,369.74
101,ICLN,21.16,1.51,0.71,0.9697,1.0345,1.6096,-35.73,1.12,20.71
102,BIIB,193.45,10.11,0.77,0.903,7.0542,11.1728,-36.86,0.93,191.38
103,PDBC,18.07,0.97,0.87,0.9041,0.7653,1.2552,-39.03,0.84,18.05
104,BHP,84.72,5.13,0.88,0.9909,4.4608,7.4339,-39.99,1.11,82.55
105,FSLR,219.95,27.46,0.77,0.6102,12.936,21.78,-40.61,0.85,214.57
106,MRVL,170.13,22.29,0.78,0.956,16.5352,27.9155,-40.77,0.9,160.01
107,SNPS,516.48,55.53,0.99,0.5271,29.0279,49.3456,-41.17,0.74,505.19
108,ILMN,141.88,9.02,0.98,0.8428,7.4836,12.8294,-41.67,0.84,138.71
109,RIG,6.4,0.51,0.87,0.8569,0.3787,0.6681,-43.32,0.61,6.17
110,TSN,68.38,4.71,0.64,0.9443,2.8264,5.0009,-43.48,1.02,67.94
111,NVDA,215.2,13.14,0.89,0.9802,11.4718,20.5931,-44.29,0.76,211.5
112,APLD,41.25,9.06,0.75,0.9267,6.2591,11.2509,-44.37,0.97,41.53
113,KEYS,360.3,25.16,0.85,0.9722,20.9057,37.7673,-44.65,0.57,355.06
114,BEKE,18.87,2.43,1.4,0.4702,1.6009,2.9087,-44.96,0.37,18.41
115,HAL,39.83,3.15,0.52,0.8915,1.4536,2.6921,-46.01,0.7,39.12
116,AMZN,272.68,24.4,0.7,0.9498,16.3365,30.2946,-46.07,0.91,271.17
117,VXUS,85.43,1.95,1.09,0.9892,2.1036,4.0135,-47.59,0.61,84.25
