Date,Status,N_Candidates,Tickers,Notes
2026-01-30,SUCCESS,68,"BUD,MT,ADM,T,BHP,BTI,CHRW,CNQ,CVE,CVX,CHD,CSCO,CL,COP,GLW,DVN,FANG,EC,ENTG,EQNR,XOM,BEN,GPC,GILD,HON,HRL,HSBC,JNJ,KMI,LMT,MU,MRNA,NEE,NUE,NTR,OXY,PAGS,PEP,PBR,PFE,PM,PPG,PWR,O,STX,SHEL,SPG,SU,SYY,TXN,KO,TTE,RIG,TSN,UMC,VALE,VZ,WDC,WMB,XLE,PDBC,SPHD,HDV,EWZ,EWY,SCHD,GLD,USO",
2026-02-02,SUCCESS,62,"AOS,AME,BUD,MT,ADM,T,BTI,CHRW,CNQ,CAT,CVE,CSCO,CL,GLW,DVN,ENTG,EQNR,XOM,FDX,BEN,GME,GPC,GILD,HAS,ITW,ING,JNJ,LMT,MRK,MU,MRNA,MNST,MSCI,NVS,NUE,NTR,ODFL,PEP,PBR,PFE,PPG,PWR,STX,LUV,SU,SYY,TER,TXN,TTE,RIG,TWST,TSN,VZ,VTRS,WDC,XLP,XLE,HDV,EWZ,EWY,SOXX,SCHD",
2026-02-03,SUCCESS,97,"AOS,AAP,AES,AME,MT,ADM,ARKO,T,BKR,BCS,BHP,BTI,CHRW,CNQ,CAT,CVE,CVX,CSCO,CL,CAG,COP,GLW,CSX,DVA,DE,DVN,DOW,E,ENTG,EQNR,XOM,FDX,BEN,GPC,GILD,GT,GSK,HAS,HON,HSBC,ITW,ING,JBHT,JNJ,JCI,KB,KEYS,KMI,LIN,LYB,MTB,MPC,MDT,MRK,MU,MNST,NEE,NVS,NUE,NTR,ODFL,PAGS,PEP,PBR,PFE,PSX,PPG,PWR,SLB,STX,SHEL,SCCO,LUV,SU,SYY,TER,TXN,KO,TTE,RIG,TSN,UPS,USB,VALE,VZ,WDC,WMB,XLP,XLE,SPHD,SPLV,HDV,ICLN,EWZ,EWY,XLB,SCHD",
2026-02-04,SUCCESS,121,"AOS,AAP,AES,AGCO,AMCR,AME,AMGN,ADI,BUD,AAPL,MT,ARKO,T,BKR,BHP,BIIB,SAM,CHRW,CNQ,CAT,CVE,CVX,CB,CHD,CSCO,CL,CAG,COP,ED,GLW,CSX,DVA,DE,DVN,FANG,DOV,DOW,DD,ECL,EMR,ENB,E,ENPH,ENTG,EQNR,XOM,FDX,BEN,GPC,GILD,GT,GSK,HAS,HON,HSBC,HBAN,ITW,JBHT,JBLU,JCI,KB,KMI,LIN,LYB,MTB,MPC,MCD,MRK,MGM,MNST,NEE,NVS,NUE,NTR,OXY,ODFL,ONL,PEP,PBR,PFE,PSX,PPG,PUK,O,SLB,STX,SHEL,SPG,LUV,RUN,SYY,TER,TXN,KO,TTE,TM,RIG,TWST,UL,UNP,UPS,USB,VALE,VZ,VTRS,WDC,WU,WMB,YUMC,XLP,XLE,SPHD,HDV,ICLN,EWZ,EWY,XLB,SCHD,USO,VYM,VTV",
2026-02-05,SUCCESS,86,"AOS,AAP,WMS,AES,AFL,AGCO,ALL,AMGN,BUD,MT,ARKO,T,BIIB,SAM,BMY,CHRW,CNQ,CAH,CB,CSCO,CL,COP,GLW,CSX,DVA,DE,DVN,FANG,DOV,ENB,E,ENPH,XOM,FDX,GPC,GILD,GT,GSK,HAS,HSY,HON,HSBC,ITW,JBHT,JNJ,JCI,KB,LIN,MTB,MCD,MCK,MRK,NVS,NUE,ODFL,ONL,PEP,PFE,PSX,PPG,PG,O,STX,SPG,SIRI,LUV,TPR,TER,TXN,KO,TTE,RIG,UL,UNP,UPS,VALE,VZ,VTRS,WU,WMB,YUMC,XLP,XLE,HDV,EWZ,SCHD",
2026-02-06,SUCCESS,103,"AOS,AAP,WMS,AES,AFL,AGCO,ALGN,ALLE,AMCR,AMGN,BUD,AAPL,MT,ARKO,ASX,BIIB,SAM,BMY,CHRW,CNQ,CCL,CAT,CVE,CB,CSCO,CL,CMCSA,COP,GLW,CSX,DVA,DE,XRAY,DVN,FANG,DOCN,DOV,ECL,ENB,E,ENPH,EQNR,XOM,FDX,GPC,GILD,GT,GSK,HAS,HSY,ITW,JBHT,JCI,KB,MTB,MPC,MCD,MCK,MRK,MGM,NVS,NUE,OXY,ODFL,ONL,PEP,PFE,PSX,PPG,PG,PWR,RCL,SPG,SIRI,LUV,SU,SYY,TPR,TER,TXN,KO,TTE,RIG,TWST,UAA,UL,UNP,UPS,USB,VZ,VTRS,WDC,WU,WMB,YUMC,XLP,XLE,HDV,EWZ,JPIN,SCHD,VYM,VTV",
2026-02-09,SUCCESS,112,"AOS,AAP,WMS,AES,AGCO,ALGN,AMCR,AMGN,BUD,AAPL,MT,ARKO,ASX,AXTI,BHP,BIIB,SAM,BMY,CNI,CNQ,CAT,CVE,CVX,CB,CSCO,CL,COP,GLW,CSX,DVA,DE,XRAY,DVN,FANG,DOCN,DOV,DOW,DD,ECL,ENB,E,ENPH,XOM,FDX,GPC,GILD,GT,GSK,HAS,HSY,HLT,HSBC,ITW,JBHT,JNJ,JCI,KEYS,PHG,KR,LIN,MPC,MAR,MCD,MCK,MRK,MGM,NNDM,NVS,OXY,ODFL,ONL,PAGS,PEP,PFE,PSX,PLBY,PPG,RCL,LUV,STM,SYY,TPR,TER,WULF,TXN,KO,TTE,TM,RIG,UAA,UL,UNP,UPS,VALE,VZ,VRT,VTRS,WFC,WDC,WU,WMB,YUMC,ZM,XLE,HDV,EWZ,JPIN,SCHD,VNQI,VYM,VEA,VTV",
2026-02-10,SUCCESS,87,"AOS,AAP,WMS,AES,AGCO,ALGN,AS,MT,ASX,BK,BDX,BIIB,SAM,BMY,CNI,CCL,CAT,CVE,CB,CSCO,CL,CMCSA,COP,GLW,CSX,DE,XRAY,DVN,DOCN,D,DOV,DOW,DD,ECL,ENB,ENPH,ENTG,XOM,FDX,BEN,GILD,GSK,HAS,HSY,HLT,HON,HSBC,ITW,ING,JBHT,SJM,JCI,PHG,KHC,LYB,MPC,MAR,MCD,MCK,NNDM,NVS,PEP,PFE,PLBY,PPG,DGX,RCL,LUV,STM,SYY,TPR,TER,WULF,TTE,RIG,UNP,UPS,VZ,VTRS,WU,WMB,YUMC,ZM,JPIN,XLB,SCHD,VNQI",
2026-02-11,SUCCESS,119,"AOS,AAP,WMS,AES,AFL,AGCO,ALGN,MO,AMCR,BUD,AAPL,MT,ARKO,ASX,AZN,T,AXTI,BKR,BDX,BHP,SAM,CNI,CNQ,PRTS,CAT,CVE,CVX,CSCO,CL,CAG,COP,GLW,CSX,DVA,DE,DVN,DEO,FANG,D,DOV,DOW,DUK,DD,ECL,ENB,E,ENTG,EQIX,EQNR,XOM,FDX,GPC,GILD,GSK,HAS,HCA,HSY,HLT,HSBC,ITW,JBHT,SJM,JCI,KB,PHG,KHC,LTC,LYB,MPC,MAR,MCD,MCK,MRK,NVS,OTLY,OXY,PEP,PBR,PFE,PSX,PLBY,PPG,PLD,DGX,O,SHEL,SIRI,LUV,STM,SYY,TSM,TPR,TER,TXN,KO,TTE,TM,RIG,UL,UNP,UPS,VZ,VRT,VTRS,VNET,WMB,YUMC,ZBH,XLP,XLE,HDV,EWZ,XLB,SCHD,USO,VNQI,VYM,VXUS,VTV",
2026-02-12,SUCCESS,116,"AAP,AES,AGCO,AKAM,ALGN,AMCR,AEP,BUD,MT,ASX,T,ATO,AXTI,BDX,BIIB,SAM,BF-B,CNI,CNQ,PRTS,CAT,CVE,CB,CL,CAG,COP,GLW,CROX,CSX,DVA,DE,DVN,DEO,FANG,DLR,D,DOV,DOW,DUK,DD,ECL,ENB,ENTG,EQIX,XOM,FSLY,FDX,FE,F,GPC,GSK,HAS,HCA,HSY,HLT,HON,ITW,IRM,JBHT,SJM,JNJ,JCI,KB,LIN,LTC,LYB,MPC,MAR,MCD,MCK,MRK,MSI,NVS,ONL,PEP,PFE,PSX,PPG,PG,PLD,PHM,PWR,DGX,O,STX,SHEL,LUV,STM,SYY,TMUS,TPR,TER,TXN,KO,TTE,RIG,UL,UNP,UPS,VZ,VRT,VTRS,VNET,WMT,WDC,ZBH,XLP,XLE,SPHD,HDV,XLB,SCHD,XLU,VNQI,VYM,VTV",
